googletrends_date;googletrends_wordpress;googletrends_joomla;googletrends_drupal;googletrends_wix;googletrends_squarespace
01/01/2004;1;0;1;1;0
01/02/2004;1;0;1;1;0
01/03/2004;1;0;1;1;0
01/04/2004;1;0;1;1;0
01/05/2004;2;0;1;1;0
01/06/2004;2;0;1;1;0
01/07/2004;2;0;1;1;0
01/08/2004;3;0;1;1;0
01/09/2004;3;0;1;1;0
01/10/2004;3;0;1;1;0
01/11/2004;3;0;1;1;0
01/12/2004;4;0;1;1;0
01/01/2005;5;0;2;1;0
01/02/2005;6;0;2;1;0
01/03/2005;6;0;2;1;0
01/04/2005;6;0;1;1;0
01/05/2005;7;0;2;1;0
01/06/2005;8;0;2;1;0
01/07/2005;8;0;3;1;0
01/08/2005;8;0;3;1;0
01/09/2005;8;3;3;1;0
01/10/2005;8;8;3;1;0
01/11/2005;9;11;4;1;0
01/12/2005;10;12;3;1;0
01/01/2006;11;15;4;1;0
01/02/2006;10;19;4;1;0
01/03/2006;11;19;4;1;0
01/04/2006;12;20;4;1;0
01/05/2006;11;19;4;1;0
01/06/2006;10;21;5;1;0
01/07/2006;13;22;5;1;0
01/08/2006;15;23;5;1;0
01/09/2006;15;25;5;1;0
01/10/2006;16;26;5;1;0
01/11/2006;17;26;5;1;0
01/12/2006;15;24;5;1;0
01/01/2007;20;29;6;1;0
01/02/2007;20;33;7;1;0
01/03/2007;21;33;7;2;0
01/04/2007;21;28;7;2;0
01/05/2007;22;32;7;2;0
01/06/2007;23;32;8;2;0
01/07/2007;23;33;8;2;0
01/08/2007;24;32;9;1;0
01/09/2007;24;32;8;1;0
01/10/2007;26;35;9;1;0
01/11/2007;25;37;9;1;0
01/12/2007;24;30;8;1;0
01/01/2008;26;36;8;1;0
01/02/2008;27;40;10;1;0
01/03/2008;28;38;10;2;0
01/04/2008;31;38;10;2;0
01/05/2008;30;36;10;2;0
01/06/2008;29;38;11;1;0
01/07/2008;31;37;11;1;0
01/08/2008;31;38;11;1;0
01/09/2008;31;39;11;2;0
01/10/2008;32;39;11;2;0
01/11/2008;34;39;11;2;0
01/12/2008;36;37;11;1;0
01/01/2009;37;40;12;2;0
01/02/2009;39;45;13;2;0
01/03/2009;40;47;14;2;0
01/04/2009;40;42;13;2;0
01/05/2009;42;43;14;2;0
01/06/2009;43;42;13;2;1
01/07/2009;44;41;14;2;0
01/08/2009;45;44;14;2;0
01/09/2009;41;42;14;2;0
01/10/2009;40;44;15;2;0
01/11/2009;43;44;14;2;0
01/12/2009;43;38;13;2;0
01/01/2010;48;43;14;2;0
01/02/2010;49;46;16;3;0
01/03/2010;49;45;15;3;0
01/04/2010;48;42;15;3;0
01/05/2010;51;43;14;3;0
01/06/2010;52;38;14;4;0
01/07/2010;48;36;15;3;0
01/08/2010;48;35;14;3;0
01/09/2010;50;36;14;3;0
01/10/2010;50;38;13;4;0
01/11/2010;50;38;14;4;0
01/12/2010;49;34;13;4;0
01/01/2011;53;38;15;4;0
01/02/2011;55;40;14;4;0
01/03/2011;56;40;15;4;0
01/04/2011;56;37;14;5;0
01/05/2011;56;35;14;5;0
01/06/2011;54;34;14;5;0
01/07/2011;54;34;14;5;0
01/08/2011;56;33;13;5;0
01/09/2011;57;34;13;6;0
01/10/2011;55;32;14;6;0
01/11/2011;56;32;13;6;0
01/12/2011;53;32;12;5;0
01/01/2012;57;31;12;6;0
01/02/2012;61;33;13;6;0
01/03/2012;58;31;13;6;0
01/04/2012;58;29;12;6;0
01/05/2012;57;27;12;6;0
01/06/2012;57;25;11;6;0
01/07/2012;58;25;11;6;1
01/08/2012;55;24;11;6;1
01/09/2012;56;25;11;7;1
01/10/2012;60;25;11;8;1
01/11/2012;55;24;11;8;1
01/12/2012;51;22;9;6;1
01/01/2013;58;25;10;8;1
01/02/2013;62;25;11;8;1
01/03/2013;61;24;11;8;1
01/04/2013;59;23;10;8;1
01/05/2013;56;20;9;9;1
01/06/2013;56;19;9;8;1
01/07/2013;57;19;9;8;1
01/08/2013;57;18;9;8;1
01/09/2013;55;18;10;8;2
01/10/2013;57;18;10;9;2
01/11/2013;59;17;9;10;2
01/12/2013;58;15;8;8;1
01/01/2014;63;16;8;9;2
01/02/2014;64;17;9;10;3
01/03/2014;61;15;9;10;3
01/04/2014;61;14;8;10;2
01/05/2014;61;13;8;11;2
01/06/2014;76;13;8;10;2
01/07/2014;100;12;8;10;3
01/08/2014;89;12;8;10;2
01/09/2014;78;12;8;11;3
01/10/2014;76;12;8;11;3
01/11/2014;65;11;8;11;3
01/12/2014;53;11;7;9;2
01/01/2015;57;12;7;10;3
01/02/2015;59;11;8;12;4
01/03/2015;59;12;7;13;3
01/04/2015;59;11;7;13;3
01/05/2015;55;10;7;13;3
01/06/2015;53;9;7;13;3
01/07/2015;53;8;6;12;3
01/08/2015;50;8;6;11;3
01/09/2015;53;8;6;13;3
01/10/2015;52;8;6;13;3
01/11/2015;50;8;6;14;3
01/12/2015;48;7;5;11;3
01/01/2016;53;8;6;12;3
01/02/2016;58;8;7;13;4
01/03/2016;54;8;7;13;4
01/04/2016;54;7;6;14;4
01/05/2016;50;7;6;15;4
01/06/2016;49;6;7;13;3
01/07/2016;44;5;6;11;3
01/08/2016;43;5;5;11;3
01/09/2016;45;6;6;13;3
01/10/2016;44;6;6;13;3
01/11/2016;49;6;6;14;3
01/12/2016;42;5;5;11;3
01/01/2017;48;5;5;13;4
01/02/2017;52;5;6;14;4
01/03/2017;53;5;6;15;4
01/04/2017;45;5;6;14;4
01/05/2017;44;4;5;14;4
01/06/2017;41;4;5;12;3
01/07/2017;41;4;5;11;3
01/08/2017;41;3;5;12;4
01/09/2017;41;4;5;12;4
01/10/2017;42;4;5;13;4
01/11/2017;43;4;5;14;3
01/12/2017;38;3;4;11;3
01/01/2018;40;3;4;12;4
01/02/2018;39;3;5;13;4
01/03/2018;40;3;5;13;4
01/04/2018;38;3;4;13;4
01/05/2018;38;3;4;14;3
01/06/2018;34;3;4;12;3
01/07/2018;33;2;4;10;3
01/08/2018;34;2;4;11;3
01/09/2018;36;2;4;11;3
01/10/2018;35;2;4;11;3
01/11/2018;35;2;4;12;3
01/12/2018;31;2;3;9;3
01/01/2019;33;2;3;11;4
01/02/2019;35;2;4;12;4
01/03/2019;35;2;3;12;3
01/04/2019;32;2;4;12;3
01/05/2019;32;2;3;12;3
01/06/2019;30;2;3;11;3
01/07/2019;32;2;3;10;3
01/08/2019;33;2;3;11;3
01/09/2019;33;2;3;12;3
01/10/2019;32;2;3;12;3
01/11/2019;31;2;3;12;3
01/12/2019;27;2;3;10;3
01/01/2020;32;2;3;12;4
01/02/2020;31;2;3;12;4
01/03/2020;32;2;3;12;4
01/04/2020;37;2;3;15;5
01/05/2020;36;2;2;15;4
01/06/2020;34;1;3;14;4
01/07/2020;36;1;3;14;4
01/08/2020;34;1;2;13;4
01/09/2020;33;1;2;13;4
01/10/2020;28;1;2;11;3
01/11/2020;25;1;1;10;2
01/12/2020;23;1;1;9;2
01/01/2021;23;1;1;10;3
01/02/2021;24;1;2;10;3
01/03/2021;25;1;2;10;2
01/04/2021;24;1;1;10;2
01/05/2021;25;1;1;10;2
01/06/2021;24;1;2;9;2
01/07/2021;22;1;1;9;2
01/08/2021;21;1;1;8;2
01/09/2021;23;1;2;9;2
01/10/2021;22;1;2;9;2
01/11/2021;23;1;2;10;2
01/12/2021;21;1;1;9;2
01/01/2022;29;1;2;12;3
01/02/2022;31;1;2;14;4
01/03/2022;32;1;2;13;3
01/04/2022;30;1;2;13;4
01/05/2022;28;1;2;13;3
01/06/2022;28;1;2;12;3
01/07/2022;26;1;2;11;3
01/08/2022;28;1;2;11;3
01/09/2022;27;1;2;12;4
01/10/2022;27;1;2;11;3
01/11/2022;28;1;2;12;3
01/12/2022;24;1;2;10;3
01/01/2023;28;1;2;13;4
01/02/2023;29;1;2;12;4
01/03/2023;29;1;2;13;4
01/04/2023;27;1;2;12;4
01/05/2023;27;1;2;12;4
01/06/2023;26;1;2;12;4
01/07/2023;26;1;2;11;3
01/08/2023;27;1;2;11;4
01/09/2023;25;1;2;12;4
01/10/2023;25;1;2;12;4
01/11/2023;25;1;2;12;4
01/12/2023;23;1;1;11;3
01/01/2024;28;1;2;13;4
01/02/2024;29;1;2;14;5
