themes_directory_date,themes_directory_num_plugins
2008-08-05,114
2008-09-01,199
2008-10-02,466
2008-11-07,640
2008-12-01,703
2009-01-01,531
2009-02-01,582
2009-03-02,631
2009-04-07,694
2009-05-02,750
2009-06-04,799
2009-07-01,862
2009-08-01,914
2009-09-01,967
2009-10-02,1004
2009-11-02,1037
2009-12-01,1064
2010-01-03,1105
2010-02-07,1121
2010-03-07,1140
2010-04-01,1172
2010-05-05,1193
2010-06-03,1204
2010-07-02,1215
2010-08-01,1220
2010-09-01,1219
2010-10-01,1240
2010-11-01,1281
2010-12-01,1295
2011-01-01,1298
2011-02-01,1314
2011-03-01,1329
2011-04-04,1338
2011-05-01,1358
2011-06-01,1384
2011-07-02,1403
2011-08-01,1416
2011-09-02,1426
2011-10-02,1440
2011-11-02,1447
2011-12-04,1453
2012-01-01,1464
2012-02-01,1469
2012-03-01,1487
2012-04-01,1525
2012-05-01,1549
2012-06-01,1523
2012-07-01,1546
2012-08-01,1563
2012-09-01,1589
2012-10-01,1608
2012-11-01,1617
2012-12-01,1634
2013-01-01,1653
2013-02-01,1674
2013-03-01,1706
2013-04-01,1736
2013-05-01,1752
2013-06-01,1763
2013-07-01,1790
2013-08-01,1902
2013-09-01,1992
2013-10-01,2043
2013-11-02,2105
2013-12-01,2140
2014-01-01,2190
2014-02-01,2261
2014-03-01,2343
2014-04-01,2434
2014-05-01,2500
2014-06-01,2568
2014-07-01,2612
2014-08-03,2640
2014-09-01,2673
2014-10-01,2768
2014-11-01,2786
2014-12-01,2809
2015-01-01,2928
2015-02-02,3018
2015-03-01,
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,
2015-11-01,
2015-12-01,
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,
2016-08-01,
2016-09-01,
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,
2017-12-01,
2018-01-01,
2018-02-01,
2018-03-01,
2018-04-01,
2018-05-01,
2018-06-01,
2018-07-01,
2018-08-01,
2018-09-01,
2018-10-01,
2018-11-01,
2018-12-01,
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,
2019-11-01,
2019-12-01,
2020-01-01,
2020-02-01,
2020-03-01,
2020-04-01,
2020-05-01,7475
2020-06-01,7503
2020-07-01,7545
2020-08-01,7672
2020-09-01,7760
2020-10-01,7847
2020-11-01,7917
2020-12-01,7986
2021-01-01,8009
2021-02-01,8057
2021-03-01,8112
2021-04-01,8180
2021-05-01,8278
2021-06-01,8382
2021-07-01,8511
2021-08-01,8613
2021-09-01,8723
2021-10-01,8804
2021-11-01,8894
2021-12-01,9009
2022-01-01,9116
2022-02-01,9203
2022-03-01,9305
2022-04-01,9418
2022-05-01,9531
2022-06-01,9630
2022-07-01,9728
2022-08-01,9830
2022-09-01,9924
2022-10-01,10041
2022-11-01,10153
2022-12-01,10253
2023-01-01,10345
2023-02-01,10461
2023-03-01,10536
2023-04-01,10644
2023-05-01,10745
2023-06-01,10852
2023-07-01,10992
2023-08-01,11099
2023-09-01,11208
2023-10-01,11319
2023-11-01,11433
2023-12-01,11570
2024-01-01,11675
2024-02-01,11800
2024-03-01,11905
2024-04-01,12016
